facility_code,DHIS2 UID,Hims code,facility_name,admin1,admin2,Constituency,Ward,zone,Location,facility_type,ownership_detail,status,Mobility status,Accesibility,catchment_population,Catchment population cso,Number of households,latitude,longitude,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
2183,QePlTBFNlEU,70050008,Kasempa Urban Health Centre,North-Western,Kasempa,Kasempa,Kikonkomena,NA,Rural,Health Centre,Public,Functional,Fixed,Open,21060,15897,3510,-13.273,25.5132,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002056,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2224,vZSGwbpGMEr,20050039,Zamefa Clinic,Copperbelt,Luanshya,Luanshya,Levi Chito,NA,Urban,Health Centre,Private,Functional,Fixed,Open,NA,1106,NA,-13.14444,28.415353,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002057,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2232,xLetr8jtJW7,40060078,Changila Health Post,Luapula,Mansa,Mansa Central,Fimpulu,NA,Rural,Health Post,Public,Functional,Fixed,Open,1023,837,205,-13.133897,27.849332,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002058,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2206,zXiBcBWF9wa,20070024,Miputu Health Post,Copperbelt,Masaiti,Masaiti,Miputu,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,NA,2,-13.203386,28.284194,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002059,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2175,NA,30050005,Jumbe Rural Health Centre,Eastern,Mambwe,Malambo,Jumbe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,3415,NA,-13.291786,32.084081,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002060,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2185,NA,30050010,Kapole Rural Health Post,Eastern,Mambwe,Malambo,Jumbe,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,1750,NA,-13.2702,31.988,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002061,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2193,NA,20070009,Kafulafuta Mission Rural Health Center,Copperbelt,Masaiti,Masaiti,Chilulu,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,4050,10,-13.252683,28.324367,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002062,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2194,NA,302558,Dwankhozi Rural Health Post,Eastern,Chipangali,Chipangali,Chipangali,NA,Rural,Health Post,Public,Functional,Fixed,Open,3379,2902,NA,-13.25215879,32.89640023,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002063,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2215,NA,20050018,Malaika Urban Health Centre,Copperbelt,Luanshya,Luanshya,Buntungwa,NA,Urban,Health Centre,Public,Functional,Fixed,Open,12395,14377,2988,-13.180466,28.411051,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002064,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4189,NA,20060014,Lumwana Health Post,Copperbelt,Lufwanyama,Lufwanyama,Luswishi,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,1708,NA,-12.951085,27.238102,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002065,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2223,BTbeWp3IVjE,30050017,Nsefu Rural Health Centre,Eastern,Mambwe,Malambo,Nsemfu,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,7305,NA,-13.147579,31.896932,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002066,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2277,CfqKerVtw89,20050014,Kasongo Health Post,Copperbelt,Luanshya,Luanshya,Fisenge,NA,Rural,Health Post,Public,Functional,Fixed,Open,2648,2654,601,-13.037305,28.523061,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002067,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2251,cmMECqfDBwn,20050025,Mpatamatu Section 26 Urban Health Centre,Copperbelt,Luanshya,Roan,Ngebe,NA,Urban,Health Centre,Public,Functional,Fixed,Open,28138,21012,4582,-13.098552,28.310742,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002068,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2214,HPOftYUJyc9,3050046,Nkhanyu Health Post,Eastern,Lumezi,Lumezi,Diwa,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,5754,NA,-13.181886,32.944923,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002069,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2264,jtZRrvRDu4m,20050008,Fisenge Urban Health Centre,Copperbelt,Luanshya,Luanshya,Fisenge,NA,Urban,Health Centre,Public,Functional,Fixed,Open,9028,13271,1829,-13.0685597,28.465088,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002070,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2240,KqlfRvBtVZQ,20050012,Kapenda Health Post,Copperbelt,Luanshya,Luanshya,Chitwi,NA,Rural,Health Post,Public,Functional,Fixed,Open,1621,2212,333,-13.123568,28.482129,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002071,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2236,M7Rzpx5oeAF,701017,Kambuya Health Post,North-Western,Chavuma,Chavuma,Kambuya Mukelangombe,NA,Rural,Health Post,Public,Functional,Fixed,Open,2940,2929,NA,-13.127968,22.548508000000002,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002072,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4099,M9gfRwMLLOc,90050024,Mulumbu Health Post,Western,Lukulu,Lukulu East,Luanchuma,NA,Rural,Health Post,Public,Functional,Fixed,Open,2313,1726,NA,-14.3533,23.3043,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002073,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2200,t2zwTZlwB7A,10110010,Lumpampa Health Post,Central,Serenje,Serenje,Sancha,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,3256,NA,-13.211634,30.130866,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002074,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2217,easAMakpWxz,10110016,Miswema Health Post,Central,Serenje,Muchinga,Kanona,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,4884,NA,-13.174151,30.653611,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002075,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2243,NcRecDANKwW,701012,Chivombo Rural Health Centre,North-Western,Chavuma,Chavuma,Chivombo Mbalango,NA,Rural,Health Centre,Public,Functional,Fixed,Open,2240,1793,NA,-13.116221,22.920623,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002076,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2238,OAPKhLsZ5YB,20050011,Kampelembe Health Post,Copperbelt,Luanshya,Roan,Chilabula,NA,Rural,Health Post,Public,Functional,Fixed,Open,1082,2212,119,-13.126571,28.245252,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002077,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2257,pLfadhLFadX,20050013,Kapupulu Health Post,Copperbelt,Luanshya,Luanshya,Mpelembe,NA,Rural,Health Post,Public,Functional,Fixed,Open,1040,2212,983,-13.077924,28.403335,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002078,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2227,SIXxeT0d3bJ,20050017,Main Urban Health Centre,Copperbelt,Luanshya,Luanshya,Buteko,NA,Urban,Health Centre,Public,Functional,Fixed,Open,18276,13271,2712,-13.139246,28.419366,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002079,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2239,suOaMUX4QAM,200600116,Lumpuma Rural Health Centre,Copperbelt,Lufwanyama,Lufwanyama,Mwelushi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,8685,6676,NA,-13.12569,27.9119,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002080,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2272,wgawrvdEMEC,701018,Sewe Health Post,North-Western,Chavuma,Chavuma,Sewe Mungole,NA,Rural,Health Post,Public,Functional,Fixed,Open,2150,2868,NA,-13.048726,22.694667,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002081,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2225,NA,20050010,Kafubu Block Health Centre,Copperbelt,Luanshya,Luanshya,Chitwi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,8581,7741,1383,-13.143239,28.416361,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002082,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2230,NA,20050042,Kasims Medical Centre,Copperbelt,Luanshya,Luanshya,Mpelembe,NA,Urban,Health Centre,Private,Functional,Fixed,Open,NA,664,NA,-13.13521,28.403342,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002083,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2253,NA,200100070,Kavu 1st Level Hospital (St Dominics Hospital),Copperbelt,Ndola,Bwana Mkubwa,Munkulungwe,NA,Urban,1st Level Hospital,Public,Functional,Fixed,Open,NA,"17,381",NA,-13.089917,28.659967,Faith-Based / NGO,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002084,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4190,NA,20060009,Kansanta Health Post,Copperbelt,Lufwanyama,Lufwanyama,Kansanta,NA,Rural,Health Post,Public,Functional,Fixed,Open,2324,2324,NA,-12.575275,27.474311,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002085,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2304,D8aPNieHLjO,70060009,Luansongwa Rural Health Centre,North-Western,Manyinga,Manyinga,Lunsong'wa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3765,3104,NA,-12.98319,24.23798,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002086,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2314,KoJXIXFMXxF,200100058,Ndola Central Hospital,Copperbelt,Ndola,Ndola Central,Kanini,NA,Urban,3rd Level Hospital,Public,Functional,Fixed,Open,NA,NA,NA,-12.97018895,28.6336707,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002087,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2258,NP4QfLCdurg,701020,Lingundu Health Post,North-Western,Chavuma,Chavuma,Lingundu Kayinda,NA,Rural,Health Post,Public,Functional,Fixed,Open,1900,1692,NA,-13.07724,22.777177,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002088,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2312,nxn3kzWTlCY,200100005,Bank of Zambia Urban Health Centre,Copperbelt,Ndola,Ndola Central,Kanini,NA,Urban,Health Centre,Private,Functional,Fixed,Restricted,NA,NA,NA,-12.97083,28.64974167,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002089,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2306,q0NU5ZzJi3V, 200100030,Kamensopanshi Health Post,Copperbelt,Ndola,Ndola Central,Dag Hammarskjold,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,"1,739",NA,-12.97892654,28.49407032,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002090,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2246,RMq5NhCB8Lt,30050007,Kakumbi Rural Health Centre,Eastern,Mambwe,Malambo,Kakumbi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,11743,NA,-13.111081,31.8069,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002091,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2245,TupU5tw6GDd,302568,Mphawa  Rural Health Centre,Eastern,Chipangali,Chipangali,Ntompe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,7379,6337,NA,-13.1112,32.3649,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002092,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2265,U5o8wMZ8l4Q,701013,Nyatanda Health Post,North-Western,Chavuma,Chavuma,Nyatanda,NA,Rural,Health Post,Public,Functional,Fixed,Open,3250,2795,NA,-13.063754,22.322733,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002093,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2271,G2AlwmkPxlz,10110013,Mailo Rural Health Centre,Central,Serenje,Muchinga,Mailo,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,4070,NA,-13.0542,30.9027,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002094,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2252,JyyqtN35xRZ,20060008,Kamakanga Rural Health Centre,Copperbelt,Lufwanyama,Lufwanyama,Mukumbo,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3619,2782,NA,-13.098084,28.09539,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002095,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2262,UOzr9yutdaR,701010,Chiyeke Rural Health Centre,North-Western,Chavuma,Chavuma,Chiyeke,Chamakubi Zone,Rural,Health Centre,Public,Functional,Fixed,Open,3875,3152,NA,-13.073477,22.734292,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002098,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1051,WH4ah9yKx7l,80050011,Mandia Health Post,Southern,Kazungula,Katombola,Mandia,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,1751,385,-17.5009,25.3277,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002099,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2303,WhixTESBtQA,200100078,TDRC Urban Health Centre,Copperbelt,Ndola,Ndola Central,Kanini,NA,Urban,Health Centre,Private,Functional,Fixed,Restricted,NA,NA,NA,-12.988867,28.587517,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002100,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2266,ZyL2UolMvPt,701021,Lipinda Health Post,North-Western,Chavuma,Chavuma,Nyambingila,Chamakubi Zone,Rural,Health Post,Public,Functional,Fixed,Open,1650,1612,NA,-13.063754,22.322733,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002101,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2254,NA,302543,Madziatuwa Rural Heath Centre,Eastern,Chipangali,Chipangali,Maziyatuba,NA,Rural,Health Centre,Public,Functional,Fixed,Open,8302,7130,NA,-13.08621699,32.69763613,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002102,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2259,NA,701025,Kakhoma Health Post,North-Western,Chavuma,Chavuma,Kakhoma,NA,Rural,Health Post,Public,Functional,Fixed,Open,3435,3079,NA,-13.07724,22.777177,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002103,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2269,NA,701002,Chavuma District Hospital Affiliated Health Post,North-Western,Chavuma,Chavuma,Chiyeke,Chamakubi Zone,Rural,1st Level Hospital,Public,Functional,Fixed,Open,3050,2697,NA,-13.059024,22.734083,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002104,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2281,NA,701023,Mbalango Health Post,North-Western,Chavuma,Chavuma,Chivombo Mbalango,NA,Rural,Health Post,Public,Functional,Fixed,Open,745,695,NA,-13.027599,22.938129,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002105,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2322,iuZGoEGlozV,200100037,Kopa Urban Health Centre,Copperbelt,Ndola,Ndola Central,Yengwe,NA,Urban,Health Centre,Private,Functional,Fixed,Restricted,NA,NA,NA,-12.96697183,28.63843184,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002106,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2298,jn7cdfVaafY,200100080,Twapia Urban Health Centre,Copperbelt,Ndola,Ndola Central,Twapia,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"26,187",NA,-12.99260644,28.59013096,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002107,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2288,o50wkLNR15X,200100042,Lubuto Urban Health Centre,Copperbelt,Ndola,Kabushi,Lubuto,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"49,160",NA,-13.00752626,28.6158029,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002109,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2329,obV7u6ihJF3,20040011,Chiminwa Health Post,Copperbelt,Kitwe,Wusakile,Limaposa,NA,Rural,Health Post,Public,Functional,Fixed,Open,5026,4694,NA,-12.953192,28.352733,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002110,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2305,pmtbhAgdVxx, 200100057,Ndola Lime Urban Health Centre,Copperbelt,Ndola,Bwana Mkubwa,Itawa,NA,Urban,Health Centre,Public,Functional,Fixed,Restricted,NA,NA,NA,-12.9821935,28.70203435,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002111,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2291,qx7cllg8vzd,70050005,Kamakuku Rural Health Centre,North-Western,Kasempa,Kasempa,Kamakuku,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3300,1930,550,-13.0022,25.4033,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002112,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2300,Tr6MJNpZPbf,200100026,Itawa Urban Health Centre,Copperbelt,Ndola,Bwana Mkubwa,Itawa,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"5,562",NA,-12.99137919,28.65091324,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002113,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2296,XsCDLPCTzCo,20050020,Maposa Mini Hospital,Copperbelt,Luanshya,Luanshya,Maposa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5195,2212,998,-12.999148,28.395572,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002115,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2324,TAtPMmGOgTg,20060001,Bulaya Rural Health Centre,Copperbelt,Lufwanyama,Lufwanyama,Bulaya,NA,Rural,Health Centre,Public,Functional,Fixed,Open,4342,3338,NA,-12.95708,28.14627,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002116,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2297,F4VYi80fTpY,20060002,Chantete Rural Health Centre,Copperbelt,Lufwanyama,Lufwanyama,Chantete,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3189,2451,NA,-12.99904,28.04505,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002117,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4335,NA,50060189,Medicare Trust Clinic,Lusaka,Lusaka,Lusaka Central,Independence,NA,Urban,General clinic,Private,Functional,Fixed,Open,NA,NA,NA,-15.420393938787,28.30248703125,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002119,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2715,TxGnT35WbCH,40060022,Kasanse Health Post,Luapula,Mansa,Bahati,Mushipashi,NA,Rural,Health Post,Public,Functional,Fixed,Open,2512,698,502,-11.28791,29.56365,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002120,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2310,NA,20070030,Njelemani Rural Health Center,Copperbelt,Masaiti,Kafulafuta,Mwatishi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,4237,NA,-12.971783,28.734717,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002121,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2318,NA,10050054,Railway Surgery Urban Health Centre,Central,Kabwe,Kabwe Central,Highridge,NA,Urban,Health Centre,Public,Functional,Fixed,Open,8803,9501,1792,-12.969,28.6404,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002122,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2319,NA,200100067,Railway Surgery Urban Health Centre,Copperbelt,Ndola,Ndola Central,Kanini,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"35,441",NA,-12.968983,28.640383,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002123,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2331,NA,20040105,ZNS Kitwe Camp Rural Health Centre,Copperbelt,Kitwe,Wusakile,Luto,NA,Rural,Health Centre,Public,Functional,Fixed,Open,4619,4473,NA,-12.94791,28.21623,Other,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002124,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2778,NA,40060044,Mutiti Rural Health Center,Luapula,Mansa,Bahati,Myulu,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5405,3728,1081,-11.1066,28.951,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002125,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2339,dyBevX99YCY,20040036,Kakolo Rural Health Centre,Copperbelt,Kitwe,Wusakile,Limaposa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5881,5281,NA,-12.927446,28.337466,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002126,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2370,E35oxeXZhRD,20030017,Kalulushi Government Urban Health Centre,Copperbelt,Kalulushi,Kalulushi,Kafue,NA,Urban,Health Centre,Public,Functional,Fixed,Open,14966,13101,9,-12.848666,28.099099,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002127,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2340,EQL5P5JyGpj,200100011,Chipokota Mayamba Urban Health Centre,Copperbelt,Ndola,Chifubu,Chifubu,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"62,081",NA,-12.925783,28.6057,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002128,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2101,hsUcORoapqG,30090003,Likawe Health Post,Eastern,Vubwi,Vubwi,Chimphanje,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,1593,NA,-13.54124,32.56647,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002129,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2335,jdk7WO5dvQa,200100032,Kansheshi Prison Urban Health Centre,Copperbelt,Ndola,Ndola Central,Kansenshi,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"13,496",NA,-12.939317,28.621567,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002130,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2345,K1R0Ztns2an,3050031,Mwase-Mphangwe Schemes Rural Health Centre,Eastern,Lumezi,Lumezi,Diwa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,6685,NA,-12.895416,32.903238,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002131,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2361,OmuZAbZci8C,200100031,Kaniki Urban Health Centre,Copperbelt,Ndola,Chifubu,Kaniki,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"8,026",NA,-12.856317,28.526017,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002132,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2336,RTXSjtWwJkM,200100059,Nkhwazi Urban Health Centre,Copperbelt,Ndola,Ndola Central,Nkwazi,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,"41,324",NA,-12.937517,28.63885,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002133,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2378,TNEIvx7BdFr,20040089,Sinozam Friendship Hospital,Copperbelt,Kitwe,Nkana,Rokana,NA,Urban,2nd Level Hospital,Private,Functional,Fixed,Open,NA,NA,NA,-12.82825,28.20423,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002134,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2368,Ts0fyrSpCC8,20030020,Kite Rural Health Centre,Copperbelt,Kalulushi,Kalulushi,Chati,NA,Rural,Health Centre,Public,Functional,Fixed,Open,4617,4990,3,-12.849952,27.8753,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002135,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2389,NA,20040055,Mawlaick ZCCF Kitwe Camp Clinic,Copperbelt,Kitwe,Nkana,Parklands,NA,Urban,Health Centre,Public,Functional,Fixed,Open,6817,6717,NA,-12.81017,28.2221,Other,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-002136,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
