facility_name,facility_code,Old Facility Code,admin1,Sub-District,Constituency,facility_type,latitude,longitude,Telephone,Urban or Rural,Always Open,status,Publication Status,Catchment Area,Updated,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Palapye Medical Centre,272170-2,555,Greater Gaborone,NA,NA,Individual practitioner,-21.3119942,25.4022706,+267 71711830,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MMADINARE MEDICAL CENTER,836692-4,476,Phikwe,NA,NA,Individual practitioner,-21.422,25.5882,+267 73825873,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Mohammed Ejaz Habib,917198-4,20495,Greater Gaborone,NA,NA,Individual practitioner,-23.1118146,26.8336004,+267 71656960,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
The Medical Plaza,703564-5,NA,Lobatse,Lobatse,LOBATSE,Poly Clinic,-25.22308,25.6696,5330625,Urban,TRUE,OPERATIONAL,PUBLISHED,NA,2023-06-22T06:40:33Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Delgado Spinal Health Clinic,277435-4,20728,Greater Gaborone,NA,NA,Individual practitioner,-22.5768609,27.0813166,+267 76112035,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Phikwe Private Day Clinic,249073-8,NA,Phikwe,Phikwe,SELEBI-PHIKWE EAST,Individual practitioner,-21.975612,27.848403,2610099,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-16T06:16:50Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ZOWA CLINICAL LABORATORIES,537111-7,830,Boteti,NA,NA,Individual practitioner,-24.6677504,25.88672,+267 2974014,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Miko Private Clinic,357247-6,NA,Tutume,Tutume,NKANGE,Individual practitioner,-20.122678,27.219696,267 75152212,Rural,FALSE,OPERATIONAL,PUBLISHED,7000,2023-04-19T07:51:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Phase 2 Clinic,411806-3,15-3-15,Greater Gaborone,Greater Gaborone,GABORONE BONNINGTON NORTH,Clinic,-24.643,25.8966,3924712/3973666,Urban,FALSE,OPERATIONAL,PUBLISHED,10020,2024-08-28T13:01:03Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Joretti Medical Centre,929790-4,NA,Okavango,Okavango,OKAVANGO,Individual practitioner,-23.1681782,24.5928742,+267 71819073,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2025-06-04T09:37:40Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mudili Medical Centre,46988-2,NA,Greater Gaborone,Greater Gaborone,GABORONE BONNINGTON NORTH,Individual practitioner,-24.383501,25.53875,3162199,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-06-26T10:10:35Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Smart Pharmacy: Human and Vet. Medicines,262838-6,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.6942515,21.651082,6597722,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-31T10:04:27Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Trusted Care Medical Centre,160961-9,20715,Serowe,Serowe,SEROWE NORTH,Individual practitioner,-22.38932967,26.70342467,+267 4600957,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-15T08:47:04Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bozogo clinic,307204-8,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.696091,21.650185,6596027,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-29T08:58:17Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PHARMAZONE,984432-5,574,Greater Gaborone,NA,NA,Individual practitioner,-24.67513,25.92211,+267 3931931,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kiran Medical Centre,633090-6,NA,Greater Gaborone,Greater Gaborone,GABORONE BONNINGTON NORTH,Individual practitioner,-24.63687,25.89357,3116517,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-03T11:47:31Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
CAMAD INVESTMENT (PTY) LTD,935580-1,108,Greater Gaborone,NA,NA,Individual practitioner,-24.6282079,25.9231471,+267 2974560,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Vitality,167969-5,NA,Kweneng East,Kweneng East,MOLEPOLOLE SOUTH,Private Hospital,-24.390198,25.485768,595880,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-21T13:27:02Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BETHESDA MEDICAL CENTRE,745542-1,62,Greater Gaborone,NA,NA,Individual practitioner,-21.1746816,27.5185664,+267 4922552,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Letlhakane Dental Clinic,448842-5,20672,Greater Gaborone,NA,NA,Individual practitioner,-21.42399,25.592016,+267 2974581,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PURE SIGHT OPTOMETRISTS,797955-2,627,Greater Gaborone,NA,NA,Individual practitioner,-22.5334445,27.0890602,+267 4924733,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
OM PHYSIOTHERAPHY CLINIC PTY LTD,925634-8,532,Greater Gaborone,NA,NA,Individual practitioner,-22.5474382,27.0848546,+267 4921849,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DAZZLING GRINS DENTAL CLINIC,206715-5,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.696164,21.650212,6596138,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-29T09:18:57Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Shady Eyes Optometrist,605051-2,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.69493,21.6531,6597441,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-28T16:19:23Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Junction Physiotherapy,167159-3,NA,Serowe,Serowe,SEROWE SOUTH,Individual practitioner,-22.38754,26.71077,4630766,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-18T14:07:01Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mowana Copper Mine Clinic,61986-6,NA,Tutume,Tutume,NKANGE,Individual practitioner,-20.521754,26.600861,76240258,Rural,FALSE,OPERATIONAL,PUBLISHED,500,2023-04-19T08:11:23Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hilltop Medical Centre,821498-3,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Group practice,-24.658364,25.915761,77313252,Urban,FALSE,OPERATIONAL,PUBLISHED,1000,2023-04-02T20:20:05Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
YOUR FAMILY DENTIST DENTAL CLINIC,326727-5,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.6950971215,21.652787107200002,6597867,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-10T19:39:38Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tutume Pharmacy,904700-2,NA,Tutume,Tutume,NKANGE,Individual practitioner,-20.489346,27.041418,71634666,Rural,FALSE,OPERATIONAL,PUBLISHED,7000,2023-05-03T14:10:53Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Juliana Kalafi Clinic,774086-3,NA,Serowe,Serowe,SEROWE SOUTH,Individual practitioner,-22.39103,26.70938,71429062,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-21T09:36:44Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Katlotla Physiotherapy Clinic,244149-1,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.695028,21.653052,71869158,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-03-29T08:27:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pathview Laboratory,286856-0,NA,Ghanzi,Ghanzi,GHANZI NORTH,Individual practitioner,-21.693105929829308,21.64998169129182,73381970,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-12T09:57:49Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Quali-Med Laboratories,623658-2,NA,Lobatse,Lobatse,LOBATSE,Poly Clinic,-25.2246637,25.6694065,5300865,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-22T06:51:17Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
NEW HOPE PRIVATE CLINIC,931356-0,NA,Chobe,Chobe,CHOBE,Individual practitioner,-17.792446,25.155893,+26771993199,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-27T09:05:23Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nata Medical Care,937506-4,20579,Tutume,Tutume,NATA-GWETA,Individual practitioner,-20.2010898,26.1820085,+267 76831961,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-25T06:04:39Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr ABBA MF,291112-1,NA,Lobatse,Lobatse,LOBATSE,Individual practitioner,-25.22845,25.66751,5330808,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-23T05:49:00Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Wapula Medical Centre,206058-0,NA,Serowe,Serowe,SEROWE SOUTH,Individual practitioner,-22.38754,26.71077,4630592,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-18T14:07:38Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Botswana Ash mine clinic,982648-8,NA,Tutume,Tutume,NATA-GWETA,Private Hospital,-20.52653,26.0594,6214249,Urban,FALSE,OPERATIONAL,PUBLISHED,1000,2023-04-19T10:22:00Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Selibe Phikwe BDF Clinic,643382-5,04-3-03,Phikwe,Phikwe,SELEBI-PHIKWE WEST,Clinic,-21.919072081760927,27.86430605320641,2614017,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2024-08-28T13:58:49Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
