ï»¿facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin2,admin1,Telephone,status
Baitiredi Clinic,755644-2,Clinic,GOVERNMENT,-23.09403,26.82326,Mahalapye,Mahalapye,+267 4710982,OPERATIONAL
Bakwena Pharmacy,116156-1,Individual practitioner,PRIVATE,-24.514321,25.701281,Kweneng East,Kweneng,5920255,OPERATIONAL
Bamalete Luthren Hospital,812755-7,District Hospital,MISSION,-24.5222,25.5248,South East,Greater Gaborone,+267 5390212,OPERATIONAL
Barakat Medical Centre,663045-3,Individual practitioner,PRIVATE,-24.622921,26.123422,Kgatleng,Kgatleng,74001528,OPERATIONAL
Beetsha Clinic,227526-1,Clinic with Maternity,GOVERNMENT,-18.722327,22.74195,Okavango,Okavango,+267 73019641,OPERATIONAL
Benedicte Medical Clinic,256806-1,Individual practitioner,PRIVATE,-24.969812,25.325713,Kanye,Southern,5443987,OPERATIONAL
Bere Health Post,348819-4,Health Post,GOVERNMENT,-22.821428,21.873788,Ghanzi,Ghanzi,+267 73924442,OPERATIONAL
Better Care Pharmacy,183511-5,Individual practitioner,PRIVATE,-22.3882,26.7041,Serowe,Serowe/Palapye,76369990,OPERATIONAL
Bidii Medical Services,158250-1,Individual practitioner,PRIVATE,-21.4433017,27.4615118,Greater Francistown,Greater Francistown,2484847,OPERATIONAL
Boatlaname Health Post,870867-9,Health Post,GOVERNMENT,-23.600383,25.823804,Kweneng East,Kweneng,+267 5960287,OPERATIONAL
Bobonong Primary Hospital,755538-6,Primary Hospital,GOVERNMENT,-21.963966,28.419894,Bobirwa,Greater Phikwe,+267 2619223,OPERATIONAL
Bodibeng Health Post,608423-0,Health Post,GOVERNMENT,-20.626929,22.601907,Ngami,Ngami,+267 74928722,OPERATIONAL
Bodungwane Health Post,448812-8,Health Post,GOVERNMENT,-24.556,25.323,Kgatleng,Kgatleng,-,PERMANENTLY_CLOSED
Bogogobo Health Post,827227-0,Health Post,GOVERNMENT,-26.661402,21.935744,Kgalagadi south,Kgalagadi South,+267 6511114,OPERATIONAL
Boikhutso Clinic,787329-2,Clinic,GOVERNMENT,-21.189995,27.536999,Greater Francistown,Greater Francistown,+267 2402023,OPERATIONAL
Boipelego Clinic,553760-0,Clinic with Maternity,GOVERNMENT,-22.428693,26.697899,Serowe,Serowe/Palapye,2674600795,OPERATIONAL
Boiteko Pharmacy,602113-3,Individual practitioner,PRIVATE,-22.387,26.71,Serowe,Serowe/Palapye,4631600,OPERATIONAL
Bokaa  Clinic,228800-9,Clinic with Maternity,GOVERNMENT,-24.4218,26.0244,Kgatleng,Kgatleng,+267 5753001,OPERATIONAL
Bokaa Clinic,889361-2,Clinic,GOVERNMENT,-24.401446,25.541639,Kweneng East,Kweneng,+267 5920317,OPERATIONAL
Bonesa Radiology Centre ,116257-7,Group practice,PRIVATE,-24.46423,25.524344,Kweneng East,Kweneng,5910724,OPERATIONAL
Bontleng Clinic,190567-8,Clinic,GOVERNMENT,-24.6649,25.9066,Greater Gaborone,Greater Gaborone,+267 3952438,OPERATIONAL
Bonwapitse Health Post,940107-6,Health Post,GOVERNMENT,-23.076863,26.703568,Mahalapye,Mahalapye,+267 4710348,OPERATIONAL
Bophelong Medical Clinic,402141-6,Individual practitioner,PRIVATE,-21.1672276,26.419389,Greater Gaborone,--,+267 71374828,OPERATIONAL
Borakalalo Clinic,782241-4,Clinic,GOVERNMENT,-24.408656,25.494324,Kweneng East,Kweneng,+267 5920424,OPERATIONAL
Borotsi Clinic,544933-5,Clinic,GOVERNMENT,-21.963522,28.418128,Bobirwa,Greater Phikwe,+267 2619256,OPERATIONAL
Boseja 1  Clinic,142959-6,Clinic,GOVERNMENT,-24.407313,26.15942,Kgatleng,Kgatleng,+267 5748225,OPERATIONAL
Boseja 2  Clinic,169913-1,Clinic,GOVERNMENT,-24.421434,26.138476,Kgatleng,Kgatleng,+267 5778113,OPERATIONAL
Boseja Clinic,176459-6,Clinic,GOVERNMENT,-19.999571,23.435189,Ngami,Ngami,+267 6862128,OPERATIONAL
 Boswelakoko Clinic,693957-3,Clinic,GOVERNMENT,-24.394575,25.496766,Kweneng East,Kweneng,+267 5910352,OPERATIONAL
Botalaote/Toteng Health Post,622014-9,Health Post,GOVERNMENT,-20.755436,27.248634,North East,North East,2470212,OPERATIONAL
Bothatogo Health Post,646788-0,Health Post,GOVERNMENT,-20.54906,22.747549,Ngami,Ngami,,OPERATIONAL
Botlhapatlou Clinic,751658-6,Clinic,GOVERNMENT,-24.022543,25.490683,Kweneng West,Kweneng,+267 5960223,OPERATIONAL
Botsalano Clinic,457469-5,Clinic,GOVERNMENT,-21.178266,27.500166,Greater Francistown,Greater Francistown,+267 2418574,OPERATIONAL
Botshabelo Clinic,198322-0,Clinic with Maternity,GOVERNMENT,-21.957747,27.869088,Phikwe,Greater Phikwe,+267 2610570,OPERATIONAL
Botshelo Clinic,419499-9,Clinic,GOVERNMENT,-21.144383,27.500186,Greater Francistown,Greater Francistown,+267 2442191,OPERATIONAL
Botsogo Medical Clinic,792976-3,Individual practitioner,PRIVATE,-24.6317056,25.9260416,Kgatleng,--,+267 5729413,OPERATIONAL
Botswana Ash mine clinic,982648-8,Private Hospital,PRIVATE,-20.52653,26.0594,Tutume,Tutume,6214249,OPERATIONAL
Botswana Gender Based Violence Prevention and Support Centre,27062-9,Private Hospital,PRIVATE,-24.6349155,25.918358,Greater Gaborone,Greater Gaborone,3907659,OPERATIONAL
Botswana Police College,256522-4,Clinic,GOVERNMENT,-24.82992,25.80516,South East,Greater Gaborone,+267 5336200/5336353,OPERATIONAL
Botswelelo Clinic,171566-3,Clinic,GOVERNMENT,-21.178887,27.521155,Greater Francistown,Greater Francistown,+267 2442188,OPERATIONAL
Bozogo clinic,307204-8,Individual practitioner,PRIVATE,-21.696091,21.650185,Ghanzi,Ghanzi,6596027,OPERATIONAL
Broadhurst I Clinic,517133-5,Clinic,GOVERNMENT,-24.6365,25.9226,Greater Gaborone,Greater Gaborone,+267 3912194,OPERATIONAL
Broadhurst II Clinic,371418-5,Clinic,GOVERNMENT,-24.628,25.9432,Greater Gaborone,Greater Gaborone,+267 3971177,OPERATIONAL
Broadhurst III Clinic,310115-1,Clinic with Maternity,GOVERNMENT,-24.6277,25.93694,Greater Gaborone,Greater Gaborone,+267 3926539,OPERATIONAL
Broadhurst Pharmacy,463023-2,Individual practitioner,PRIVATE,-24.630897,25.946547,Greater Gaborone,Greater Gaborone,3500320,OPERATIONAL
Broadhurst Traditional Area Clinic  ,218760-7,Clinic,GOVERNMENT,-24.643155,25.923326,Greater Gaborone,Greater Gaborone,+267 3912198,OPERATIONAL
Broadvision Eye Clinic,755274-8,Individual practitioner,PRIVATE,-21.170069,27.51308,Greater Francistown,Greater Francistown,2406540,OPERATIONAL
Butale Health Post,467438-8,Health Post,GOVERNMENT,-20.682174,27.694977,North East,North East,+267 2488223,OPERATIONAL
CAMAD INVESTMENT (PTY) LTD,935580-1,Individual practitioner,PRIVATE,-24.6282079,25.9231471,Greater Gaborone,--,+267 2974560,OPERATIONAL
CARE & HOPE MEDICAL CLINIC,471424-2,Poly Clinic,PRIVATE,-24.6773565,25.5576201,Kweneng East,--,+267 5999987,OPERATIONAL
CENTURY HEALTH CENTER,34754-2,Individual practitioner,PRIVATE,-24.630146,25.893672,Greater Gaborone,Greater Gaborone,72956388,OPERATIONAL
CLYDEVIEW DENTAL CLINIC,537303-0,Individual practitioner,PRIVATE,-22.56147992,27.08116964,Palapye,Serowe/Palapye,+267 74541614,OPERATIONAL
Care and Hope Clinic,76309-4,Group practice,PRIVATE,-24.671048,25.545475,Kweneng East,Kweneng,5999987,OPERATIONAL
Carine SMET-SANTENS Psychology Practice ,669911-0,Group practice,PRIVATE,-24.6382592,25.9227648,South East,--,+267 3931117,OPERATIONAL
Cedmol Medical Clinical,297631-4,Individual practitioner,PRIVATE,-24.60508,25.90176,Greater Gaborone,Greater Gaborone,3922231,OPERATIONAL
Central Clinic,764799-3,Individual practitioner,PRIVATE,-24.6616365,25.8966946,Greater Gaborone,--,+267 3181758,OPERATIONAL
Chadibe Clinic,335661-5,Clinic,GOVERNMENT,-23.049323,27.579946,Mahalapye,Mahalapye,+267 4940004,OPERATIONAL
Changate Health Post,849574-9,Health Post,GOVERNMENT,-20.325567,27.227953,Tutume,Tutume,+267 2986291,OPERATIONAL
Chanoga Health Post,1060319-9,Health Post,GOVERNMENT,-20.166295,23.685811,Ngami,Ngami,+267 6867011,OPERATIONAL
Charleshill Clinic,298782-4,Clinic with Maternity,GOVERNMENT,-22.275197,20.06782995,Charleshill,Ghanzi,6511785,OPERATIONAL
Chemist At Your Service,797444-7,Individual practitioner,PRIVATE,-24.62712488,25.93557814,South East,Greater Gaborone,-3971113,OPERATIONAL
Chidzanami Pharmacy Pty ltd,430772-4,Individual practitioner,PRIVATE,-21.1664481,27.5106102,--,--,+267 2408835,OPERATIONAL
Chobokwane Health Post,933031-7,Health Post,GOVERNMENT,-22.15509568,21.20978512,Charleshill,Ghanzi,6511701,OPERATIONAL
Chukumuchu Health Post,895295-4,Health Post,GOVERNMENT,-18.29666,21.793068,Okavango,Okavango,+267 73019688,OPERATIONAL
City Medical Center,413824-4,Individual practitioner,PRIVATE,-21.175738,27.510324,Greater Francistown,Greater Francistown,2417716,OPERATIONAL
Compass Green Day Hospital,807951-9,Private Hospital,PRIVATE,-24.65364,25.92071,Greater Gaborone,Greater Gaborone,3119013,OPERATIONAL
Concord Medical Practice,423355-7,Individual practitioner,PRIVATE,-22.3305,27.0653,Palapye,Serowe/Palapye,76239511,OPERATIONAL
Covenant Medical Centre Shakawe,762599-9,Individual practitioner,PRIVATE,-18.3602119,21.83784136,Okavango,Okavango,6875214,OPERATIONAL
Crafty Fisio,308088-4,Individual practitioner,PRIVATE,-21.975538,27.837272,Phikwe,Greater Phikwe,77078003,OPERATIONAL
Cwagare Health Post,950587-6,Health Post,GOVERNMENT,-25.593194,25.315827,Goodhope,Greater Lobatse,71768695,OPERATIONAL
D'kar Health Post,325783-9,Health Post,GOVERNMENT,-21.518951,21.947239,Ghanzi,Ghanzi,+267 73924983,OPERATIONAL
DATI PAEDIATRIC CLINIC,187291-0,Individual practitioner,PRIVATE,-21.1682697,27.515379,--,--,+267 73741835,OPERATIONAL
DAZZLING GRINS DENTAL CLINIC,206715-5,Individual practitioner,PRIVATE,-21.696164,21.650212,Ghanzi,Ghanzi,6596138,OPERATIONAL
DEAL MART,543125-9,Group practice,PRIVATE,-24.6641,25.9074,Greater Gaborone,--,+267 3934990,OPERATIONAL
DIAGNOFIRM MEDICAL LABORATORIES,394645-6,Individual practitioner,PRIVATE,-24.6874112,25.8932736,Greater Gaborone,--,+267 3950007,OPERATIONAL
DIJO KALAFI & WELLNESS CENTRE ,838262-4,Individual practitioner,PRIVATE,-22.4250949,26.7535074,Greater Gaborone,--,+267 4600966,OPERATIONAL
DITALALA CLINIC,918847-5,Individual practitioner,PRIVATE,-21.26449308,27.48080257,--,--,+267 71860046,OPERATIONAL
DR HIRUI MEDICAL CLINIC,362330-3,Ambulatory Center,PRIVATE,-22.5514872,27.1147095,Palapye,Serowe/Palapye,492 3125,OPERATIONAL
DR Jaco Meij Dental Surgeon(PTY)Ltd,887619-5,Individual practitioner,PRIVATE,-24.6884198,25.8813855,South East,--,+267 74414802,OPERATIONAL
DR K TRAVEL CLINIC,846914-0,Individual practitioner,PRIVATE,-24.64268172,25.92087777,Greater Gaborone,--,+267 71305011,OPERATIONAL
DR L.D MAHLOANE,927877-1,Individual practitioner,PRIVATE,-24.65792,25.8736128,Greater Gaborone,--,+267 3906028,OPERATIONAL
DR LOUIS TALJAARD,67448-1,Individual practitioner,PRIVATE,-22.551745,27.114495,Palapye,Serowe/Palapye,4921374,OPERATIONAL
DR MOTINGWA DENTAL SURGERY,794932-4,Individual practitioner,PRIVATE,-24.6183135,25.9437179,Greater Gaborone,--,+267 3951604,OPERATIONAL
DR. KIRIGITI PRIVATE CLINIC,988351-3,Individual practitioner,PRIVATE,-24.670588,25.911484,Greater Gaborone,Greater Gaborone,3974540,OPERATIONAL
DR.MANU MEDICAL CENTER,562062-0,Individual practitioner,PRIVATE,-22.545895,27.106808,Palapye,Serowe/Palapye,4924242,OPERATIONAL
Dagwi Health Post,433538-6,Health Post,GOVERNMENT,-20.222629,27.259789,Tutume,Tutume,+267 2986296,OPERATIONAL
Damochujenaa Health Post,264929-1,Health Post,GOVERNMENT,-21.842412,27.55636,Phikwe,Greater Phikwe,+267 2975111,OPERATIONAL
Dawn Pharmacy ,228840-5,Individual practitioner,PRIVATE,-19.9768285,23.432237,Ngami,Ngami,6865330,OPERATIONAL
Deborah Retief Memorial Hospital,758579-7,District Hospital,GOVERNMENT,-24.383375,26.146938,Kgatleng,Kgatleng,+267 5777333,OPERATIONAL
Delgado Spinal Health Clinic,277435-4,Individual practitioner,PRIVATE,-22.5768609,27.0813166,Greater Gaborone,--,+267 76112035,OPERATIONAL
Delta Pharmacies Ghanzi Pty Ltd,231840-0,Individual practitioner,PRIVATE,-21.696074,21.650337,Ghanzi,Ghanzi,2676597134,OPERATIONAL
Dental Hub,306748-5,Group practice,PRIVATE,-24.6604436,25.923391,South East,--,+267 3187178,OPERATIONAL
Dermadee Skin Care Centre,557437-1,Individual practitioner,PRIVATE,-24.6539173,25.9043672,Greater Gaborone,--,+267 3909655,OPERATIONAL
Destiny Medical and Research Solutions,438121-6,Individual practitioner,PRIVATE,-24.39497,25.55211,South East,Greater Gaborone,2673111605,OPERATIONAL
Diabo Health Post,194690-4,Health Post,GOVERNMENT,-25.199215,25.365009,Kanye,Southern,+267 5440196,OPERATIONAL
Diagnofirm (Pty)Ltd,969668-3,Individual practitioner,PRIVATE,-19.939328,23.4979328,Greater Gaborone,--,+267 3950007,OPERATIONAL
Diagnofirm Medical Laboratories,643159-7,Individual practitioner,PRIVATE,-24.8620123,25.8597851,South East,Greater Gaborone,+267 3950007/75698913,OPERATIONAL
Diagnofirm Medical Laboratories,568467-5,Group practice,PRIVATE,-22.39278,26.711801,Serowe,Serowe/Palapye,76771340,OPERATIONAL
Diagnofirm Medical Laboratory,802098-4,Individual practitioner,PRIVATE,-17.80652,25.24085,Chobe,Chobe,6252244,OPERATIONAL
Dibete Health Post,356155-2,Health Post,GOVERNMENT,-23.751578,26.470278,Mahalapye,Mahalapye,+267 4770004,OPERATIONAL
Digawana Clinic,221016-9,Clinic with Maternity,GOVERNMENT,-25.3456108,25.5635218,Lobatse,Greater Lobatse,+267 5333888,OPERATIONAL
Dikgonnye Health Post,500663-0,Health Post,GOVERNMENT,-24.140298,26.006055,Kgatleng,Kgatleng,+267 73237170,OPERATIONAL
Dikhukhung Health Post,143993-4,Health Post,GOVERNMENT,-25.81329,24.799131,Goodhope,Greater Lobatse,+267 5410814,OPERATIONAL
Dikwididi Health Post,375485-0,Health Post,GOVERNMENT,-24.593722,26.218878,Kgatleng,Kgatleng,+267 5750211,OPERATIONAL
Dilolwe Clinic,223705-5,Clinic,GOVERNMENT,-24.972394,25.351259,Kanye,Southern,+267 5443756,OPERATIONAL
Diloro Health Post,306646-1,Clinic,GOVERNMENT,-22.353739,27.53917,Palapye,Serowe/Palapye,+267 4919222,OPERATIONAL
Dimajwe Health Post,818896-3,Health Post,GOVERNMENT,-21.681044,26.755594,Serowe,Serowe/Palapye,2674620346,OPERATIONAL
Dinovi Private Medical Clinic,936043-9,Individual practitioner,PRIVATE,-23.676294,22.775468,Kgalagadi North,Kgalagadi North,73755804,OPERATIONAL
Diphuduhudu Health Post,708962-6,Health Post,GOVERNMENT,-23.675964,25.309865,Kweneng West,Kweneng,+267 5960171,OPERATIONAL
Dipotsana Health Post,520537-2,Health Post,GOVERNMENT,-25.235121,25.424962,Kanye,Southern,+267 5410994,OPERATIONAL
Disana Health Post,561209-8,Health Post,GOVERNMENT,-19.973056,23.460892,Ngami,Ngami,--,OPERATIONAL
Disaneng Clinic,301537-7,Clinic,GOVERNMENT,-19.994057,23.474589,Ngami,Ngami,+267 6840347,OPERATIONAL
Ditlharapa Health Post,399845-7,Health Post,GOVERNMENT,-25.691169,25.388213,Mabutsane,Greater Lobatse,+267 5410248,OPERATIONAL
Ditshegwane Clinic,952729-2,Clinic,GOVERNMENT,-24.167028,24.960983,Kweneng West,Kweneng,+267 5943228,OPERATIONAL
Ditshukudu Health  Post,936820-0,Health Post,GOVERNMENT,-24.290104,25.745699,Kweneng East,Kweneng,+267 5960073,OPERATIONAL
Donga Clinic,215930-9,Clinic with Maternity,GOVERNMENT,-21.172334,27.54409,Greater Francistown,Greater Francistown,+267 2420172,OPERATIONAL
Doosan First Aid Centre (Morupule A),993317-7,Clinic,undefined,-22.52018,27.038563,Palapye,Serowe/Palapye,+267 4970245,OPERATIONAL
Dr ABBA MF,291112-1,Individual practitioner,PRIVATE,-25.22845,25.66751,Lobatse,Greater Lobatse,5330808,OPERATIONAL
Dr Bose Medical Centre ,685786-6,Individual practitioner,PRIVATE,-21.3352448,25.362432,Mahalapye,Mahalapye,+267 4713101,OPERATIONAL
Dr CLEMENT CLINIC,646835-9,Individual practitioner,PRIVATE,-22.556046,27.131014,Palapye,Serowe/Palapye,73662991,OPERATIONAL
Dr F Le Roux Medical Services,758514-4,Individual practitioner,PRIVATE,-21.331968,24.3591552,--,--,+267 72339955,OPERATIONAL
Dr Kabongo Clinic,977548-7,Group practice,PRIVATE,-24.411449,25.489932,Kweneng East,Kweneng,71901186,OPERATIONAL
Dr Kadiyala Surgery,556191-5,Day care center,PRIVATE,-24.6311,25.9173,South East,Greater Gaborone,3952221,OPERATIONAL
Dr Kayidala Surgery,898454-4,Individual practitioner,PRIVATE,-24.631325,25.917318,Greater Gaborone,--,+267 3952221,OPERATIONAL
Dr Khan Surgery,730486-8,Individual practitioner,PRIVATE,-24.665082,25.9157949,South East,--,+267 3934011,OPERATIONAL
Dr Miko Private Clinic,357247-6,Individual practitioner,PRIVATE,-20.122678,27.219696,Tutume,Tutume,267 75152212,OPERATIONAL
Dr Mohammed Ejaz Habib,917198-4,Individual practitioner,PRIVATE,-23.1118146,26.8336004,Greater Gaborone,--,+267 71656960,OPERATIONAL
Dr Monga Clinic,829944-8,Individual practitioner,PRIVATE,-22.4036,26.7143,Serowe,Serowe/Palapye,2674600944,OPERATIONAL
Dr Omotoye Dental Surgery,360734-8,Individual practitioner,PRIVATE,-21.175919,27.509863,Greater Francistown,Greater Francistown,2416466,OPERATIONAL
Dr Patel Surgery,767749-5,Individual practitioner,PRIVATE,-24.6638478,25.91900517,Greater Gaborone,--,+267 3953855,OPERATIONAL
Dr Saima Surgery,583489-0,Individual practitioner,PRIVATE,-24.64288345,25.92088181,Greater Gaborone,--,+267 3181759,OPERATIONAL
DrK Travel Clinic,884477-1,Individual practitioner,PRIVATE,-24.64258,25.92125,Greater Gaborone,Greater Gaborone,26771305011,OPERATIONAL
Draihoek Health Post,893812-8,Health Post,GOVERNMENT,-25.461261,22.845959,Kgalagadi south,Kgalagadi South,+267 6542800,OPERATIONAL
Dukwi Clinic,658384-3,Clinic,GOVERNMENT,-20.580868,26.497382,Tutume,Tutume,+267 2977216,OPERATIONAL
Dutlwe Health Post,956424-6,Health Post,GOVERNMENT,-23.982233,23.92804,Kweneng West,Kweneng,+267 5960212,OPERATIONAL
Dzoroga Health Post,965513-5,Health Post,GOVERNMENT,-20.155347,25.794528,Tutume,Tutume,+267 2470063,OPERATIONAL
ECOPATH PATHOLOGY,114696-8,Individual practitioner,PRIVATE,-24.559527,25.979139,Greater Gaborone,Greater Gaborone,3110813,OPERATIONAL
ECOPATH PATHOLOGY KANYE,901601-5,Individual practitioner,PRIVATE,-24.980952,25.338439,Kanye,Southern,5443872,OPERATIONAL
ELIM MEDICAL CENTRE,697359-8,Individual practitioner,PRIVATE,-24.628201,25.9346463,South East,--,+267 3117991,OPERATIONAL
ELITE DENTAL CLINIC,472233-6,Poly Clinic,PRIVATE,-22.5338645,27.08981752,Greater Gaborone,--,+267 4924730,OPERATIONAL
ELITE PHYSIOTHERAPY,528589-5,Group practice,PRIVATE,-24.6860104,25.8831917,Greater Gaborone,--,+267 3957814,OPERATIONAL
